theta,a,b,status,z
5,3.6,13.6,NotYet,0.0
5,6.9,7.4,NotYet,0.0
10,3.6,13.5,NotYet,0.0
10,7.1,7.3,NotYet,0.0
15,3.8,13.2,NotYet,0.0
15,7.4,7.1,NotYet,0.0
20,3.7,13.0,NotYet,0.0
20,7.6,6.9,NotYet,0.0
25,3.9,12.7,NotYet,0.0
25,7.9,6.6,NotYet,0.0
30,4.0,12.3,NotYet,0.0
30,8.2,6.2,NotYet,0.0
35,4.3,11.7,NotYet,0.0
35,8.9,5.8,NotYet,0.0
40,4.6,10.9,NotYet,0.0
40,10.0,5.3,NotYet,0.0
45,4.8,10.3,NotYet,0.0
45,11.0,4.9,NotYet,0.0
50,5.3,9.6,NotYet,0.0
50,11.6,4.7,NotYet,0.0
55,5.8,9.0,NotYet,0.0
55,12.4,4.3,NotYet,0.0
60,6.2,8.5,NotYet,0.0
60,13.0,4.0,NotYet,0.0
65,6.6,7.9,NotYet,0.0
65,13.4,3.8,NotYet,0.0
70,6.9,7.3,NotYet,0.0
70,13.7,3.7,NotYet,0.0
75,7.2,7.2,NotYet,0.0
75,13.9,3.7,NotYet,0.0
80,7.4,7.2,NotYet,0.0
80,14.0,3.8,NotYet,0.0
85,7.4,7.2,NotYet,0.0
85,14.1,3.8,NotYet,0.0
